state_code,district_name
NY,Syracuse City School District
NY,Brentwood Union Free School District
NY,Sachem Central School District
NY,Williamsville Central School District
NY,Wappingers Central School District
NY,Shenendehowa Central School District
NY,Greece Central School District
NY,Half Hollow Hills Central School District
NY,Smithtown Central School District
NY,Commack Union Free School District
NY,Sewanhaka Central High School District
NY,Bethlehem Central School District
NY,Spackenkill Union Free School District
NC,Wake County Public School System
NC,Charlotte-Mecklenburg Schools
NC,Guilford County Schools
NC,Winston-Salem/Forsyth County Schools
NC,Cumberland County Schools
NC,Union County Public Schools
NC,Gaston County Schools
NC,Johnston County Public Schools
NC,Durham Public Schools
NC,Pitt County Schools
NC,Cabarrus County Schools
NC,New Hanover County Schools
NC,Buncombe County Schools
ND,Fargo Public Schools
ND,West Fargo Public Schools
ND,Bismarck Public Schools
ND,Grand Forks Public Schools
ND,Minot Public Schools
ND,Mandan Public School District
OH,Columbus City Schools
OH,Cleveland Metropolitan School District
OH,Cincinnati Public Schools
OH,Toledo Public Schools
OH,Akron Public Schools
OH,South-Western City Schools
OH,Hilliard City School District
OH,Westerville City Schools
OH,Olentangy Local School District
OH,Lakota Local School District
OH,Mason City Schools
OH,Sycamore Community Schools
OH,Dublin City Schools
OH,Pickerington Local School District
OK,Oklahoma City Public Schools
OK,Tulsa Public Schools
OK,Putnam City Schools
OK,Edmond Public Schools
OK,Moore Public Schools
OK,Broken Arrow Public Schools
OK,Norman Public Schools
OK,Mustang Public Schools
OK,Union Public Schools
OK,Owasso Public Schools
OK,Lawton Public Schools
OR,Portland Public Schools
OR,Salem-Keizer Public Schools
OR,Beaverton School District
OR,Hillsboro School District
OR,Eugene School District 4J
OR,Tigard-Tualatin School District
OR,North Clackamas Schools
OR,Bend-La Pine Schools
OR,Gresham-Barlow School District
OR,Medford School District
PA,Philadelphia School District
PA,Pittsburgh Public Schools
PA,Central Bucks School District
PA,North Penn School District
PA,Council Rock School District
PA,Reading School District
PA,Allentown School District
PA,Bethlehem Area School District
PA,Lower Merion School District
PA,Pennsbury School District
PA,Erie Public Schools
PA,Downingtown Area School District
PA,West Chester Area School District
PA,Neshaminy School District
PA,Cumberland Valley School District
RI,Providence Public Schools
RI,Cranston Public Schools
RI,Warwick Public Schools
RI,Pawtucket School District
RI,East Providence School District
RI,Cumberland School District
RI,North Kingstown School District
SC,Greenville County Schools
SC,Charleston County School District
SC,Berkeley County School District
SC,Richland County School District One
SC,Richland County School District Two
SC,Lexington County School District One
SC,Horry County Schools
SC,Beaufort County School District
SC,Spartanburg County School District Seven
SC,Dorchester School District Two
SD,Sioux Falls School District
SD,Rapid City Area Schools
SD,Aberdeen School District
SD,Watertown School District
SD,Brandon Valley School District
SD,Harrisburg School District
TN,Memphis-Shelby County Schools
TN,Metropolitan Nashville Public Schools
TN,Knox County Schools
TN,Hamilton County Schools
TN,Williamson County Schools
TN,Rutherford County Schools
TN,Sumner County Schools
TN,Wilson County Schools
TN,Montgomery County Schools
TN,Bartlett City Schools
TX,Houston Independent School District
TX,Dallas Independent School District
TX,Cypress-Fairbanks Independent School District
TX,Northside Independent School District
TX,Austin Independent School District
TX,Fort Worth Independent School District
TX,Katy Independent School District
TX,Conroe Independent School District
TX,Fort Bend Independent School District
TX,North East Independent School District
TX,Plano Independent School District
TX,Frisco Independent School District
TX,Arlington Independent School District
TX,Aldine Independent School District
TX,Klein Independent School District
TX,Garland Independent School District
TX,El Paso Independent School District
TX,Lewisville Independent School District
TX,Pasadena Independent School District
TX,Mansfield Independent School District
TX,Brownsville Independent School District
TX,Round Rock Independent School District
TX,Spring Branch Independent School District
TX,Pearland Independent School District
TX,McKinney Independent School District
TX,Allen Independent School District
TX,Leander Independent School District
TX,Eagle Mountain-Saginaw Independent School District
TX,Birdville Independent School District
TX,Humble Independent School District
TX,Killeen Independent School District
TX,Alief Independent School District
TX,Galena Park Independent School District
TX,Spring Independent School District
TX,Socorro Independent School District
TX,Ysleta Independent School District
TX,Clear Creek Independent School District
TX,Tomball Independent School District
TX,Comal Independent School District
UT,Granite School District
UT,Davis School District
UT,Jordan School District
UT,Alpine School District
UT,Canyons School District
UT,Weber School District
UT,Washington County School District
UT,Salt Lake City School District
UT,Nebo School District
UT,Tooele County School District
UT,Cache County School District
UT,Murray City School District
VT,Burlington School District
VT,South Burlington School District
VT,Champlain Valley School District
VT,Essex Westford School District
VT,Colchester School District
VT,Rutland City Public Schools
VA,Fairfax County Public Schools
VA,Prince William County Public Schools
VA,Loudoun County Public Schools
VA,Virginia Beach City Public Schools
VA,Chesterfield County Public Schools
VA,Henrico County Public Schools
VA,Norfolk Public Schools
VA,Chesapeake Public Schools
VA,Newport News Public Schools
VA,Stafford County Public Schools
VA,Spotsylvania County Public Schools
VA,Hanover County Public Schools
VA,Richmond Public Schools
VA,Albemarle County Public Schools
VA,Roanoke County Public Schools
WA,Seattle Public Schools
WA,Spokane Public Schools
WA,Tacoma Public Schools
WA,Vancouver Public Schools
WA,Lake Washington School District
WA,Federal Way Public Schools
WA,Kent School District
WA,Edmonds School District
WA,Puyallup School District
WA,Northshore School District
WA,Evergreen Public Schools
WA,Bellevue School District
WA,Issaquah School District
WA,Renton School District
WA,Highline Public Schools
WA,Auburn School District
WV,Kanawha County Schools
WV,Berkeley County Schools
WV,Monongalia County Schools
WV,Cabell County Schools
WV,Wood County Schools
WV,Raleigh County Schools
WV,Harrison County Schools
WV,Marion County Schools
WI,Milwaukee Public Schools
WI,Madison Metropolitan School District
WI,Kenosha Unified School District
WI,Green Bay Area Public Schools
WI,Racine Unified School District
WI,Appleton Area School District
WI,Waukesha School District
WI,Eau Claire Area School District
WI,Janesville School District
WI,Sheboygan Area School District
WI,Wausau School District
WI,Oshkosh Area School District
WI,Stevens Point Area Public Schools
WY,Laramie County School District 1
WY,Natrona County School District 1
WY,Campbell County School District 1
WY,Sweetwater County School District 1
WY,Albany County School District 1
WY,Sheridan County School District 2
